Year,Month,Day,date_base
2002,11,27,2002-11-27
2002,12,7,2002-12-07
2002,12,8,2002-12-08
2002,12,28,2002-12-28
2002,12,29,2002-12-29
2003,2,6,2003-02-06
2003,2,9,2003-02-09
2003,4,23,2003-04-23
2003,5,22,2003-05-22
2003,5,23,2003-05-23
2003,5,24,2003-05-24
2003,6,6,2003-06-06
2003,6,9,2003-06-09
2003,7,22,2003-07-22
2003,7,23,2003-07-23
2003,8,4,2003-08-04
2003,8,5,2003-08-05
2003,8,6,2003-08-06
2003,8,7,2003-08-07
2003,8,28,2003-08-28
2003,8,29,2003-08-29
2003,8,30,2003-08-30
2003,8,31,2003-08-31
2003,9,13,2003-09-13
2003,9,15,2003-09-15
2004,2,7,2004-02-07
2004,3,2,2004-03-02
2004,3,3,2004-03-03
2004,4,22,2004-04-22
2004,4,23,2004-04-23
2004,4,24,2004-04-24
2004,5,28,2004-05-28
2004,5,29,2004-05-29
2004,5,30,2004-05-30
2004,5,31,2004-05-31
2004,7,17,2004-07-17
2004,7,18,2004-07-18
2004,8,14,2004-08-14
2004,8,15,2004-08-15
2004,8,16,2004-08-16
2004,9,3,2004-09-03
2004,9,4,2004-09-04
2004,9,5,2004-09-05
2004,9,6,2004-09-06
2004,9,23,2004-09-23
2004,10,22,2004-10-22
2004,10,23,2004-10-23
2004,10,24,2004-10-24
2005,1,25,2005-01-25
2005,3,12,2005-03-12
2005,3,17,2005-03-17
2005,3,19,2005-03-19
2005,4,18,2005-04-18
2005,4,19,2005-04-19
2005,4,20,2005-04-20
2005,5,6,2005-05-06
2005,5,7,2005-05-07
2005,5,28,2005-05-28
2005,5,29,2005-05-29
2005,5,30,2005-05-30
2005,6,6,2005-06-06
2005,6,7,2005-06-07
2005,6,8,2005-06-08
2005,6,9,2005-06-09
2005,7,8,2005-07-08
2005,7,9,2005-07-09
2005,7,10,2005-07-10
2005,7,11,2005-07-11
2005,8,4,2005-08-04
2005,8,5,2005-08-05
2005,8,6,2005-08-06
2005,8,7,2005-08-07
2005,8,27,2005-08-27
2005,8,28,2005-08-28
2005,8,29,2005-08-29
2005,9,1,2005-09-01
2005,9,2,2005-09-02
2005,9,3,2005-09-03
2005,9,4,2005-09-04
2005,9,24,2005-09-24
2005,9,25,2005-09-25
2005,9,26,2005-09-26
2005,10,24,2005-10-24
2005,10,25,2005-10-25
2006,1,20,2006-01-20
2006,2,24,2006-02-24
2006,2,26,2006-02-26
2006,3,27,2006-03-27
2006,3,28,2006-03-28
2006,3,29,2006-03-29
2006,4,7,2006-04-07
2006,4,25,2006-04-25
2006,4,26,2006-04-26
2006,4,27,2006-04-27
2006,5,26,2006-05-26
2006,5,27,2006-05-27
2006,5,28,2006-05-28
2006,6,8,2006-06-08
2006,6,9,2006-06-09
2006,6,10,2006-06-10
2006,6,11,2006-06-11
2006,7,22,2006-07-22
2006,7,23,2006-07-23
2006,7,24,2006-07-24
2006,8,8,2006-08-08
2006,8,9,2006-08-09
2006,8,18,2006-08-18
2006,8,19,2006-08-19
2006,8,20,2006-08-20
2006,9,23,2006-09-23
2006,9,24,2006-09-24
2006,12,7,2006-12-07
2007,3,1,2007-03-01
2007,3,2,2007-03-02
2007,3,3,2007-03-03
2007,3,4,2007-03-04
2007,3,29,2007-03-29
2007,3,31,2007-03-31
2007,4,1,2007-04-01
2007,4,12,2007-04-12
2007,4,13,2007-04-13
2007,4,14,2007-04-14
2007,4,15,2007-04-15
2007,4,21,2007-04-21
2007,8,13,2007-08-13
2007,8,14,2007-08-14
2007,8,15,2007-08-15
2007,9,10,2007-09-10
2007,9,11,2007-09-11
2007,9,12,2007-09-12
2008,2,10,2008-02-10
2008,4,18,2008-04-18
2008,4,19,2008-04-19
2008,4,20,2008-04-20
2008,4,21,2008-04-21
2008,6,5,2008-06-05
2008,6,6,2008-06-06
2008,6,7,2008-06-07
2008,6,8,2008-06-08
2008,8,28,2008-08-28
2008,8,29,2008-08-29
2008,8,30,2008-08-30
2008,8,31,2008-08-31
2008,11,24,2008-11-24
2008,11,25,2008-11-25
2008,11,27,2008-11-27
2008,11,28,2008-11-28
2008,11,29,2008-11-29
2008,12,1,2008-12-01
